 #   time                Position                 Velocity
   4.59999800       896.31599681761304       -45.080000671744322     
   4.69999790       891.75899667979593       -46.060000686347458     
   4.79999781       887.10399653905824       -47.040000700950593     
   4.89999771       882.35099639539987       -48.020000715553728     
   4.99999762       877.49999624882093       -49.000000730156863     
   5.09999752       872.55099609932131       -49.980000744759998     
   5.19999743       867.50399594690111       -50.960000759363133     
   5.29999733       862.35899579156023       -51.940000773966268     
   5.39999723       857.11599563329878       -52.920000788569403     
   5.49999714       851.77499547211664       -53.900000803172539     
   5.59999704       846.33599530801393       -54.880000817775674     
   5.69999695       840.79899514099054       -55.860000832378809     
   5.79999685       835.16399497104658       -56.840000846981944     
   5.89999676       829.43099479818193       -57.820000861585079     
   5.99999666       823.59999462239671       -58.800000876188214     
   6.09999657       817.67099444369080       -59.780000890791349     
   6.19999647       811.64399426206433       -60.760000905394485     
   6.29999638       805.51899407751716       -61.740000919997620     
   6.39999628       799.29599389004943       -62.720000934600755     
   6.49999619       792.97499369966101       -63.700000949203890     
   6.59999609       786.55599350635202       -64.680000963807032     
   6.69999599       780.03899331012235       -65.660000978410167     
   6.79999590       773.42399311097211       -66.640000993013302     
   6.89999580       766.71099290890118       -67.620001007616438     
   6.99999571       759.89999270390967       -68.600001022219573     
   7.09999561       752.99099249599749       -69.580001036822708     
   7.19999552       745.98399228516473       -70.560001051425843     
   7.29999542       738.87899207141129       -71.540001066028978     
   7.39999533       731.67599185473728       -72.520001080632113     
   7.49999523       724.37499163514258       -73.500001095235248     
   7.59999514       716.97599141262731       -74.480001109838383     
   7.69999504       709.47899118719135       -75.460001124441519     
   7.79999495       701.88399095883483       -76.440001139044654     
   7.89999485       694.19099072755762       -77.420001153647789     
   7.99999475       686.39999049335984       -78.400001168250924     
   8.09999466       678.51099025624137       -79.380001182854059     
   8.19999504       670.52399001620233       -80.360001197457194     
   8.29999542       662.43898977324261       -81.340001212060329     
   8.39999580       654.25598952736232       -82.320001226663464     
   8.49999619       645.97498927856134       -83.300001241266600     
   8.59999657       637.59598902683979       -84.280001255869735     
   8.69999695       629.11898877219755       -85.260001270472870     
   8.79999733       620.54398851463475       -86.240001285076005     
   8.89999771       611.87098825415126       -87.220001299679140     
   8.99999809       603.09998799074719       -88.200001314282275     
   9.09999847       594.23098772442245       -89.180001328885410     
   9.19999886       585.26398745517713       -90.160001343488545     
   9.29999924       576.19898718301113       -91.140001358091681     
   9.39999962       567.03598690792455       -92.120001372694816     
   9.50000000       557.77498662991741       -93.100001387297951     
   9.60000038       548.41598634898958       -94.080001401901086     
   9.70000076       538.95898606514118       -95.060001416504221     
   9.80000114       529.40398577837209       -96.040001431107356     
   9.90000153       519.75098548868243       -97.020001445710491     
   10.0000019       509.99998519607209       -98.000001460313626     
   10.1000023       500.15098490054112       -98.980001474916762     
   10.2000027       490.20398460208952       -99.960001489519897     
   10.3000031       480.15898430071729       -100.94000150412303     
   10.4000034       470.01598399642444       -101.92000151872617     
   10.5000038       459.77498368921096       -102.90000153332930     
   10.6000042       449.43598337907684       -103.88000154793244     
   10.7000046       438.99898306602211       -104.86000156253557     
   10.8000050       428.46398275004674       -105.84000157713871     
   10.9000053       417.83098243115074       -106.82000159174184     
   11.0000057       407.09998210933412       -107.80000160634498     
   11.1000061       396.27098178459687       -108.78000162094811     
   11.2000065       385.34398145693899       -109.76000163555125     
   11.3000069       374.31898112636048       -110.74000165015438     
   11.4000072       363.19598079286135       -111.72000166475752     
   11.5000076       351.97498045644159       -112.70000167936065     
   11.6000080       340.65598011710119       -113.68000169396379     
   11.7000084       329.23897977484017       -114.66000170856692     
   11.8000088       317.72397942965853       -115.64000172317006     
   11.9000092       306.11097908155625       -116.62000173777319     
   12.0000095       294.39997873053335       -117.60000175237633     
   12.1000099       282.59097837658982       -118.58000176697946     
   12.2000103       270.68397801972566       -119.56000178158260     
   12.3000107       258.67897765994087       -120.54000179618573     
   12.4000111       246.57597729723545       -121.52000181078887     
   12.5000114       234.37497693160941       -122.50000182539200     
   12.6000118       222.07597656306274       -123.48000183999514     
